,title,start_time,end_time,word,stutter_type
0,p000001s000001w000001,0.0,1.705,FFFFF,s
1,p000001s000001w000002,1.705,1.975,OR,s
2,p000001s000001w000003,1.975,5.355,FFFFFFFFFFFF,s
3,p000001s000001w000004,5.355,5.455,OR,s
4,p000001s000001w000005,5.455,5.87,Christmas,n
5,p000001s000001w000006,5.87,6.125,I,n
6,p000001s000001w000007,6.125,7.095,WANT,s
7,p000001s000001w000008,7.095,7.505,UM,s
8,p000001s000001w000009,7.505,7.72,I,n
9,p000001s000001w000010,7.72,7.985,WANT,s
10,p000001s000001w000011,7.985,8.745,SUMMMMMMM,s
11,p000001s000001w000012,8.745,8.86,new,n
12,p000001s000001w000013,8.86,9.185,games,n
13,p000001s000001w000014,9.185,9.37,FOR,s
14,p000001s000001w000015,9.37,9.57,MY,s
15,p000001s000001w000016,9.57,10.38,NEW,s
16,p000001s000001w000017,10.38,10.515,FAW,s
17,p000001s000001w000018,10.515,10.86,MY,s
18,p000001s000001w000019,10.86,11.2,UM,s
19,p000001s000001w000020,11.2,11.965,NIN,s
20,p000001s000001w000021,11.965,12.25,FOR,s
21,p000001s000001w000022,12.25,12.76,MIE,s
22,p000001s000001w000023,12.76,12.835,NIN,s
23,p000001s000001w000024,12.835,14.185,NIN,s
24,p000001s000001w000025,14.185,15.275,NIN,s
25,p000001s000001w000026,15.275,18.725,TENDO,s
26,p000001s000001w000027,18.725,19.095,sixty,n
27,p000001s000001w000028,19.095,19.335,"four,",n
28,p000001s000001w000029,19.335,20.105,and,n
29,p000001s000001w000030,20.105,21.0,also,n
30,p000001s000001w000031,21.0,21.175,I,n
31,p000001s000001w000032,21.175,21.5,want,n
32,p000001s000001w000033,21.5,21.9,some,n
33,p000001s000001w000034,21.9,22.64,NEW,s
34,p000001s000001w000035,22.64,23.08,NEW,s
35,p000001s000001w000036,23.08,23.175,UM,s
36,p000001s000001w000037,23.175,23.475,NEW,s
37,p000001s000001w000038,23.475,23.96,um,n
38,p000001s000001w000039,23.96,24.57,B,s
39,p000001s000001w000040,24.57,28.525,OOKS,s
40,p000001s000001w000041,28.525,28.8,TO,s
41,p000001s000001w000042,28.8,29.15,UM,s
42,p000001s000001w000043,29.15,30.005,TO,s
43,p000001s000001w000044,30.005,30.385,UM,s
44,p000001s000001w000045,30.385,32.105,H,s
45,p000001s000001w000046,32.105,32.355,ELP,s
46,p000001s000001w000047,32.355,32.43,me,n
47,p000001s000001w000048,32.43,32.65,WU,s
48,p000001s000001w000049,32.65,32.97,WITH,s
49,p000001s000001w000050,32.97,33.3,MY,s
50,p000001s000001w000051,33.3,33.47,UM,s
51,p000001s000001w000052,33.47,34.28,WITH,s
52,p000001s000001w000053,34.28,36.54,MY,s
53,p000001s000001w000054,36.54,37.23,W,s
54,p000001s000001w000055,37.23,38.11,ORK,s
55,p000001s000001w000056,38.11,38.35,at,n
56,p000001s000001w000057,38.35,38.625,"school,",n
57,p000001s000001w000058,38.625,39.02,and,n
58,p000001s000001w000059,39.02,39.345,I,n
59,p000001s000001w000060,39.345,39.83,also,n
60,p000001s000001w000061,39.83,40.88,WANTTTTTTTTTT,s
61,p000001s000001w000062,40.88,41.69,A,s
62,p000001s000001w000063,41.69,42.675,NEW,s
63,p000001s000001w000064,42.675,42.795,A,s
64,p000001s000001w000065,42.795,43.195,NEW,s
65,p000001s000001w000066,43.195,43.67,um,n
66,p000001s000001w000067,43.67,46.165,um,n
67,p000001s000001w000068,46.165,46.735,personal,n
68,p000001s000001w000069,46.735,51.255,S{x65}EEDEE,n
69,p000001s000001w000070,51.255,51.905,player.,n
70,p000001s000001w000071,51.905,54.255,"And,",n
71,p000001s000001w000072,54.255,54.86,also,n
72,p000001s000001w000073,54.86,55.145,I,n
73,p000001s000001w000074,55.145,55.875,want,n
74,p000001s000001w000075,55.875,55.955,a,n
75,p000001s000001w000076,55.955,56.505,few,n
76,p000001s000001w000077,56.505,57.12,NEW,s
77,p000001s000001w000078,57.12,57.435,UM,s
78,p000001s000001w000079,57.435,57.855,NEW,s
79,p000001s000001w000080,57.855,58.26,UM,s
80,p000001s000001w000081,58.26,58.605,um,n
81,p000001s000001w000082,58.605,58.65,B,s
82,p000001s000001w000083,58.65,58.65,B,s
83,p000001s000001w000084,58.65,58.65,OOKS,s
84,p000001s000001w000085,58.65,58.65,T,s
85,p000001s000001w000086,58.65,58.655,TTTTT,s
86,p000001s000001w000087,58.655,58.83,TO,s
87,p000001s000001w000088,58.83,60.97,read,n
88,p000001s000001w000089,60.97,63.435,at,n
89,p000001s000001w000090,63.435,63.81,home.,n
90,p000001s000001w000091,63.81,66.235,I'VE,s
91,p000001s000001w000092,66.235,68.77,also,n
92,p000001s000001w000093,68.77,69.2,hoping,n
93,p000001s000001w000094,69.2,69.41,to,n
94,p000001s000001w000095,69.41,69.905,"get,",n
95,p000001s000001w000096,69.905,70.41,WHICH,s
96,p000001s000001w000097,70.41,71.46,WE'VE,s
97,p000001s000001w000098,71.46,71.695,WHICH,s
98,p000001s000001w000099,71.695,72.42,WE'VE,s
99,p000001s000001w000100,72.42,72.88,"already,",n
100,p000001s000001w000101,72.88,73.66,is,n
101,p000001s000001w000102,73.66,73.755,a,n
102,p000001s000001w000103,73.755,73.895,new,n
103,p000001s000001w000104,73.895,74.01,um,n
104,p000001s000001w000105,74.01,74.16,B,s
105,p000001s000001w000106,74.16,76.075,ADMINTON,s
106,p000001s000001w000107,76.075,76.085,R,s
107,p000001s000001w000108,76.085,76.085,R,s
108,p000001s000001w000109,76.085,76.135,"AQUET,",s
109,p000001s000001w000110,76.135,76.145,a,n
110,p000001s000001w000111,76.145,76.3,um,n
111,p000001s000001w000112,76.3,87.055,SSSSSSSSSSSSKSSSSSSSSSSSSSSSSSGWOSH,s
112,p000001s000001w000113,87.055,88.6,"racquets,",n
113,p000001s000001w000114,88.6,89.11,AND,s
114,p000001s000001w000115,89.11,89.69,AND,s
115,p000001s000001w000116,89.69,89.92,SOME,s
116,p000001s000001w000117,89.92,90.12,AND,s
117,p000001s000001w000118,90.12,90.62,SOME,s
118,p000001s000001w000119,90.62,91.075,AND,s
119,p000001s000001w000120,91.075,91.26,SOME,s
120,p000001s000001w000121,91.26,91.365,new,n
121,p000001s000001w000122,91.365,93.575,SSSSSSSSSSSSSSS,s
122,p000001s000001w000123,93.575,95.51,GWOSH,s
123,p000001s000001w000124,95.51,99.09,SH{x26}OES,n
124,p000001s000001w000125,99.09,100.665,as,n
125,p000001s000001w000126,100.665,100.85,well.,n
126,p000001s000001w000127,100.85,100.925,Um,n
127,p000001s000001w000128,100.925,100.93,DOWN,s
128,p000001s000001w000129,100.93,101.04,at,n
129,p000001s000001w000130,101.04,101.355,school,n
130,p000001s000001w000131,101.355,101.37,in,n
